concept_id,concept_option_id,label,sort_order
c163,c163:122,"Naranjal, Veracruz",122
c163,c163:123,"Zacoalco de Torres, Jalisco",123
c163,c163:124,"Toluca, Estado de México",124
c163,c163:9999,No contesta,9999
c164,c164:1,Compré una casa o departamento,1
c164,c164:2,La renta de la casa es más barata,2
c164,c164:3,Más cerca de trabajo,3
c164,c164:4,Más cerca de familia,4
c164,c164:5,"Tiene servicios más cerca (escuelas, parques, centros comerciales, hospitales, etc)",5
c164,c164:6,Mejor seguridad,6
c164,c164:7,"Dificultad para pagar lugar anterior (subió la renta, comenzó a recibir menos ingresos)",7
c164,c164:8,Es privada,8
c164,c164:9,Me pidieron desalojar,9
c164,c164:10,Me fui a vivir con mi pareja,10
c164,c164:11,Me quería independizar,11
c164,c164:12,Una casa,12
c164,c164:13,Divorcio,13
c164,c164:14,Casa de un familiar,14
c164,c164:8888,No sabe,8888
c164,c164:9999,No contesta,9999
c169,c169:1,1,1
c169,c169:2,2,2
c169,c169:3,3,3
c169,c169:4,4,4
c169,c169:5,5,5
c169,c169:6,6,6
c169,c169:7,7,7
c169,c169:8,8,8
c169,c169:9,9,9
c169,c169:10,10,10
c169,c169:8888,No sabe,8888
c169,c169:9999,No contesta,9999
c170,c170:1,1,1
c170,c170:2,2,2
c170,c170:3,3,3
c170,c170:4,4,4
c170,c170:5,5,5
c170,c170:6,6,6
c170,c170:7,7,7
c170,c170:8,8,8
c170,c170:9,9,9
c170,c170:10,10,10
c170,c170:8888,No sabe,8888
c170,c170:9999,No contesta,9999
c171,c171:1,1,1
c171,c171:2,2,2
c171,c171:3,3,3
c171,c171:4,4,4
c171,c171:5,5,5
c171,c171:6,6,6
c171,c171:7,7,7
c171,c171:8,8,8
c171,c171:9,9,9
c171,c171:10,10,10
c171,c171:8888,No sabe,8888
c171,c171:9999,No contesta,9999
c172,c172:1,1,1
c172,c172:2,2,2
c172,c172:3,3,3
c172,c172:4,4,4
c172,c172:5,5,5
c172,c172:6,6,6
c172,c172:7,7,7
c172,c172:8,8,8
c172,c172:9,9,9
c172,c172:10,10,10
c172,c172:8888,No sabe,8888
c172,c172:9999,No contesta,9999
c173,c173:1,1,1
c173,c173:2,2,2
c173,c173:3,3,3
c173,c173:4,4,4
c173,c173:5,5,5
c173,c173:6,6,6
c173,c173:7,7,7
c173,c173:8,8,8
c173,c173:9,9,9
c173,c173:10,10,10
c173,c173:8888,No sabe,8888
c173,c173:9999,No contesta,9999
c174,c174:0,No,0
c174,c174:1,Sí,1
c174,c174:8888,No sabe,8888
c174,c174:9999,No contesta,9999
c176,c176:0,No,0
c176,c176:1,Sí,1
c176,c176:8888,No sabe,8888
c176,c176:9999,No contesta,9999
c177,c177:0,No,0
c177,c177:1,Sí,1
c177,c177:8888,No sabe,8888
c177,c177:9999,No contesta,9999
c178,c178:0,No,0
c178,c178:1,Sí,1
c178,c178:8888,No sabe,8888
c178,c178:9999,No contesta,9999
c179,c179:0,No,0
c179,c179:1,Sí,1
c179,c179:8888,No sabe,8888
c179,c179:9999,No contesta,9999
c180,c180:0,No,0
c180,c180:1,Sí,1
c180,c180:8888,No sabe,8888
c180,c180:9999,No contesta,9999
c181,c181:1,Pésima,1
c181,c181:2,Mala,2
c181,c181:3,Regular,3
c181,c181:4,Buena,4
c181,c181:5,Excelente,5
c181,c181:8888,No sabe,8888
c181,c181:9999,No contesta,9999
c185,c185:0,No,0
c185,c185:1,Sí,1
c185,c185:8888,No sabe,8888
c185,c185:9999,No contesta,9999
c186,c186:0,No,0
c186,c186:1,Sí,1
c186,c186:8888,No sabe,8888
c186,c186:9999,No contesta,9999
c187,c187:0,No,0
c187,c187:1,Sí,1
c187,c187:8888,No sabe,8888
c187,c187:9999,No contesta,9999
c192,c192:1,Mejor,1
c192,c192:2,Igual de bien,2
c192,c192:3,Igual de mal,3
c192,c192:4,Peor,4
c192,c192:8888,No sabe,8888
c192,c192:9999,No contesta,9999
c194,c194:1,Mejor,1
c194,c194:2,Igual de bien,2
c194,c194:3,Igual de mal,3
c194,c194:4,Peor,4
c194,c194:8888,No sabe,8888
c194,c194:9999,No contesta,9999
c201,c201:1,Les alcanza bien y pueden ahorrar,1
c201,c201:2,"Les alcanza justo, sin grandes dificultades",2
c201,c201:3,No les alcanza y tienen dificultades,3
c201,c201:4,No les alcanza y tienen grandes dificultades,4
c201,c201:8888,No Sabe,8888
c201,c201:9999,No Contesta,9999
c202,c202:0,No,0
c202,c202:1,Sí,1
c202,c202:8888,No sabe,8888
c202,c202:9999,No contesta,9999
c203,c203:0,No,0
c203,c203:1,Sí,1
c203,c203:8888,No sabe,8888
c203,c203:9999,No contesta,9999
c204,c204:0,No,0
c204,c204:1,Sí,1
